tracking_index,effective_date,earnings_index,book_value_index
Nasdaq 100,2024-06-30,115.7467,109.9907
Nasdaq 100,2024-09-30,116.9620,110.7414
Nasdaq 100,2024-12-31,118.1901,111.4972
Nasdaq 100,2025-03-31,119.4311,112.2581
Nasdaq 100,2025-06-30,120.6851,113.0243
Nasdaq 100,2025-09-30,121.9523,113.7957
Nasdaq 100,2025-12-31,123.2328,114.5723
Dow Jones,2020-12-31,100.0000,100.0000
Dow Jones,2021-03-31,101.4625,100.9506
Dow Jones,2021-06-30,102.9464,101.9103
Dow Jones,2021-09-30,104.4520,102.8791
Dow Jones,2021-12-31,105.9796,103.8571
Dow Jones,2022-03-31,107.5295,104.8444
Dow Jones,2022-06-30,109.1022,105.8410
Dow Jones,2022-09-30,110.6978,106.8472
Dow Jones,2022-12-31,112.3167,107.8629
Dow Jones,2023-03-31,113.9594,108.8883
Dow Jones,2023-06-30,115.6260,109.9234
Dow Jones,2023-09-30,117.3171,110.9684
Dow Jones,2023-12-31,119.0328,112.0232
Dow Jones,2024-03-31,120.7737,113.0882
Dow Jones,2024-06-30,122.5400,114.1632
Dow Jones,2024-09-30,124.3321,115.2485
Dow Jones,2024-12-31,126.1505,116.3441
Dow Jones,2025-03-31,127.9954,117.4500
Dow Jones,2025-06-30,129.8674,118.5666
Dow Jones,2025-09-30,131.7667,119.6937
Dow Jones,2025-12-31,133.6938,120.8315
Russell 2000,2020-12-31,100.0000,100.0000
Russell 2000,2021-03-31,101.2375,100.8044
Russell 2000,2021-06-30,102.4903,101.6152
Russell 2000,2021-09-30,103.7586,102.4326
Russell 2000,2021-12-31,105.0426,103.2565
Russell 2000,2022-03-31,106.3425,104.0871
Russell 2000,2022-06-30,107.6585,104.9244
Russell 2000,2022-09-30,108.9908,105.7683
Russell 2000,2022-12-31,110.3396,106.6191
Russell 2000,2023-03-31,111.7050,107.4767
Russell 2000,2023-06-30,113.0874,108.3412
Russell 2000,2023-09-30,114.4868,109.2127
Russell 2000,2023-12-31,115.9036,110.0912
Russell 2000,2024-03-31,117.3379,110.9767
Russell 2000,2024-06-30,118.7900,111.8694
Russell 2000,2024-09-30,120.2600,112.7693
Russell 2000,2024-12-31,121.7482,113.6763
Russell 2000,2025-03-31,123.2548,114.5907
Russell 2000,2025-06-30,124.7801,115.5125
Russell 2000,2025-09-30,126.3243,116.4416
Russell 2000,2025-12-31,127.8875,117.3782
MSCI World,2020-12-31,100.0000,100.0000
MSCI World,2021-03-31,101.3875,100.9019
MSCI World,2021-06-30,102.7943,101.8119
MSCI World,2021-09-30,104.2205,102.7301
MSCI World,2021-12-31,105.6666,103.6566
MSCI World,2022-03-31,107.1327,104.5914
MSCI World,2022-06-30,108.6192,105.5347
MSCI World,2022-09-30,110.1263,106.4865
MSCI World,2022-12-31,111.6543,107.4469
MSCI World,2023-03-31,113.2035,108.4159
MSCI World,2023-06-30,114.7742,109.3937
MSCI World,2023-09-30,116.3667,110.3803
MSCI World,2023-12-31,117.9812,111.3758
MSCI World,2024-03-31,119.6182,112.3803
MSCI World,2024-06-30,121.2779,113.3938
MSCI World,2024-09-30,122.9607,114.4165
MSCI World,2024-12-31,124.6667,115.4484
MSCI World,2025-03-31,126.3965,116.4896
MSCI World,2025-06-30,128.1503,117.5402
MSCI World,2025-09-30,129.9283,118.6002
MSCI World,2025-12-31,131.7311,119.6698
MSCI EM,2020-12-31,100.0000,100.0000
MSCI EM,2021-03-31,101.5375,100.9994
MSCI EM,2021-06-30,103.0986,102.0087
MSCI EM,2021-09-30,104.6838,103.0282
MSCI EM,2021-12-31,106.2933,104.0578
MSCI EM,2022-03-31,107.9276,105.0978
MSCI EM,2022-06-30,109.5869,106.1481
MSCI EM,2022-09-30,111.2718,107.2089
MSCI EM,2022-12-31,112.9826,108.2803
MSCI EM,2023-03-31,114.7198,109.3624
MSCI EM,2023-06-30,116.4836,110.4554
MSCI EM,2023-09-30,118.2745,111.5592
MSCI EM,2023-12-31,120.0930,112.6741
MSCI EM,2024-03-31,121.9394,113.8002
MSCI EM,2024-06-30,123.8142,114.9375
MSCI EM,2024-09-30,125.7179,116.0861
MSCI EM,2024-12-31,127.6508,117.2463
MSCI EM,2025-03-31,129.6134,118.4180
MSCI EM,2025-06-30,131.6062,119.6014
MSCI EM,2025-09-30,133.6297,120.7967
MSCI EM,2025-12-31,135.6842,122.0039
FTSE All-World,2020-12-31,100.0000,100.0000
FTSE All-World,2021-03-31,101.4250,100.9262
FTSE All-World,2021-06-30,102.8703,101.8611
FTSE All-World,2021-09-30,104.3362,102.8046
FTSE All-World,2021-12-31,105.8230,103.7568
FTSE All-World,2022-03-31,107.3310,104.7178
FTSE All-World,2022-06-30,108.8604,105.6878
FTSE All-World,2022-09-30,110.4117,106.6667
FTSE All-World,2022-12-31,111.9851,107.6547
FTSE All-World,2023-03-31,113.5809,108.6519
FTSE All-World,2023-06-30,115.1994,109.6583
FTSE All-World,2023-09-30,116.8410,110.6740
FTSE All-World,2023-12-31,118.5060,111.6991
FTSE All-World,2024-03-31,120.1947,112.7337
FTSE All-World,2024-06-30,121.9074,113.7779
FTSE All-World,2024-09-30,123.6446,114.8318
FTSE All-World,2024-12-31,125.4066,115.8954
FTSE All-World,2025-03-31,127.1936,116.9689
FTSE All-World,2025-06-30,129.0061,118.0523
FTSE All-World,2025-09-30,130.8445,119.1458
FTSE All-World,2025-12-31,132.7090,120.2494
Nikkei 225,2020-12-31,100.0000,100.0000
Nikkei 225,2021-03-31,101.3500,100.8775
Nikkei 225,2021-06-30,102.7182,101.7627
Nikkei 225,2021-09-30,104.1049,102.6557
Nikkei 225,2021-12-31,105.5103,103.5565
Nikkei 225,2022-03-31,106.9347,104.4652
Nikkei 225,2022-06-30,108.3783,105.3819
Nikkei 225,2022-09-30,109.8415,106.3066
Nikkei 225,2022-12-31,111.3243,107.2394
Nikkei 225,2023-03-31,112.8272,108.1805
Nikkei 225,2023-06-30,114.3504,109.1297
Nikkei 225,2023-09-30,115.8941,110.0874
Nikkei 225,2023-12-31,117.4587,111.0534
Nikkei 225,2024-03-31,119.0444,112.0279
Nikkei 225,2024-06-30,120.6514,113.0109
Nikkei 225,2024-09-30,122.2802,114.0026
Nikkei 225,2024-12-31,123.9310,115.0029
Nikkei 225,2025-03-31,125.6041,116.0121
Nikkei 225,2025-06-30,127.2998,117.0301
Nikkei 225,2025-09-30,129.0183,118.0570
Nikkei 225,2025-12-31,130.7600,119.0930
TOPIX,2020-12-31,100.0000,100.0000
TOPIX,2021-03-31,101.5000,100.9750
TOPIX,2021-06-30,103.0225,101.9595
TOPIX,2021-09-30,104.5678,102.9536
TOPIX,2021-12-31,106.1364,103.9574
TOPIX,2022-03-31,107.7284,104.9710
TOPIX,2022-06-30,109.3443,105.9945
TOPIX,2022-09-30,110.9845,107.0279
TOPIX,2022-12-31,112.6493,108.0714
TOPIX,2023-03-31,114.3390,109.1251
TOPIX,2023-06-30,116.0541,110.1891
TOPIX,2023-09-30,117.7949,111.2634
TOPIX,2023-12-31,119.5618,112.3483
TOPIX,2024-03-31,121.3552,113.4437
TOPIX,2024-06-30,123.1756,114.5497
TOPIX,2024-09-30,125.0232,115.6666
TOPIX,2024-12-31,126.8986,116.7943
TOPIX,2025-03-31,128.8020,117.9331
TOPIX,2025-06-30,130.7341,119.0829
TOPIX,2025-09-30,132.6951,120.2440
TOPIX,2025-12-31,134.6855,121.4164
KOSPI 200,2020-12-31,100.0000,100.0000
KOSPI 200,2021-03-31,101.4250,100.9262
KOSPI 200,2021-06-30,102.8703,101.8611
KOSPI 200,2021-09-30,104.3362,102.8046
KOSPI 200,2021-12-31,105.8230,103.7568
KOSPI 200,2022-03-31,107.3310,104.7178
KOSPI 200,2022-06-30,108.8604,105.6878
KOSPI 200,2022-09-30,110.4117,106.6667
KOSPI 200,2022-12-31,111.9851,107.6547
KOSPI 200,2023-03-31,113.5809,108.6519
KOSPI 200,2023-06-30,115.1994,109.6583
KOSPI 200,2023-09-30,116.8410,110.6740
KOSPI 200,2023-12-31,118.5060,111.6991
KOSPI 200,2024-03-31,120.1947,112.7337
KOSPI 200,2024-06-30,121.9074,113.7779
KOSPI 200,2024-09-30,123.6446,114.8318
KOSPI 200,2024-12-31,125.4066,115.8954
KOSPI 200,2025-03-31,127.1936,116.9689
KOSPI 200,2025-06-30,129.0061,118.0523
KOSPI 200,2025-09-30,130.8445,119.1458
KOSPI 200,2025-12-31,132.7090,120.2494
STOXX Europe 600,2020-12-31,100.0000,100.0000
STOXX Europe 600,2021-03-31,101.8000,101.1700
STOXX Europe 600,2021-06-30,103.6324,102.3537
STOXX Europe 600,2021-09-30,105.4978,103.5512
STOXX Europe 600,2021-12-31,107.3967,104.7628
STOXX Europe 600,2022-03-31,109.3299,105.9885
STOXX Europe 600,2022-06-30,111.2978,107.2286
STOXX Europe 600,2022-09-30,113.3012,108.4831
STOXX Europe 600,2022-12-31,115.3406,109.7524
STOXX Europe 600,2023-03-31,117.4167,111.0365
STOXX Europe 600,2023-06-30,119.5302,112.3356
STOXX Europe 600,2023-09-30,121.6818,113.6500
STOXX Europe 600,2023-12-31,123.8721,114.9797
STOXX Europe 600,2024-03-31,126.1018,116.3249
STOXX Europe 600,2024-06-30,128.3716,117.6859
STOXX Europe 600,2024-09-30,130.6823,119.0628
STOXX Europe 600,2024-12-31,133.0346,120.4559
STOXX Europe 600,2025-03-31,135.4292,121.8652
STOXX Europe 600,2025-06-30,137.8669,123.2910
STOXX Europe 600,2025-09-30,140.3485,124.7335
STOXX Europe 600,2025-12-31,142.8748,126.1929
DAX,2020-12-31,100.0000,100.0000
DAX,2021-03-31,101.6875,101.0969
DAX,2021-06-30,103.4035,102.2058
DAX,2021-09-30,105.1484,103.3269
DAX,2021-12-31,106.9228,104.4602
DAX,2022-03-31,108.7271,105.6060
DAX,2022-06-30,110.5619,106.7644
DAX,2022-09-30,112.4276,107.9355
DAX,2022-12-31,114.3248,109.1194
DAX,2023-03-31,116.2541,110.3163
DAX,2023-06-30,118.2158,111.5263
DAX,2023-09-30,120.2107,112.7496
DAX,2023-12-31,122.2393,113.9863
DAX,2024-03-31,124.3021,115.2366
DAX,2024-06-30,126.3997,116.5006
DAX,2024-09-30,128.5327,117.7785
DAX,2024-12-31,130.7017,119.0704
DAX,2025-03-31,132.9073,120.3764
DAX,2025-06-30,135.1501,121.6968
DAX,2025-09-30,137.4307,123.0317
DAX,2025-12-31,139.7499,124.3812
