symbol,date,monthly_price_return_pct,monthly_total_return_pct,total_return_index,cumulative_total_return_pct
CHN300,2025-12-31,-7.9695,-7.8028,182.2815,82.2815
CHN500,2020-12-31,0.0000,0.0000,100.0000,0.0000
CHN500,2021-01-31,0.6200,0.7534,100.7534,0.7534
CHN500,2021-02-28,1.1494,1.2828,102.0458,2.0458
CHN500,2021-03-31,-0.7507,-0.6174,101.4158,1.4158
CHN500,2021-04-30,9.7515,9.8848,111.4405,11.4405
CHN500,2021-05-31,11.6410,11.7744,124.5619,24.5619
CHN500,2021-06-30,12.0000,12.1333,139.6754,39.6754
CHN500,2021-07-31,5.9277,6.0610,148.1412,48.1412
CHN500,2021-08-31,4.7971,4.9304,155.4451,55.4451
CHN500,2021-09-30,-9.5469,-9.4135,140.8122,40.8122
CHN500,2021-10-31,3.2267,3.3601,145.5436,45.5436
CHN500,2021-11-30,-2.5310,-2.3977,142.0539,42.0539
CHN500,2021-12-31,1.3541,1.4875,144.1669,44.1669
CHN500,2022-01-31,9.9051,10.0384,158.6389,58.6389
CHN500,2022-02-28,-0.8751,-0.7417,157.4623,57.4623
CHN500,2022-03-31,-9.2441,-9.1108,143.1162,43.1162
CHN500,2022-04-30,4.9617,5.0950,150.4080,50.4080
CHN500,2022-05-31,2.8014,2.9348,154.8221,54.8221
CHN500,2022-06-30,-7.8001,-7.6668,142.9522,42.9522
CHN500,2022-07-31,12.0000,12.1333,160.2971,60.2971
CHN500,2022-08-31,-1.1468,-1.0134,158.6726,58.6726
CHN500,2022-09-30,8.6920,8.8254,172.6760,72.6760
CHN500,2022-10-31,4.2426,4.3759,180.2321,80.2321
CHN500,2022-11-30,3.0222,3.1556,185.9195,85.9195
CHN500,2022-12-31,-2.8675,-2.7342,180.8361,80.8361
CHN500,2023-01-31,11.8400,11.9733,202.4881,102.4881
CHN500,2023-02-28,-4.5833,-4.4499,193.4775,93.4775
CHN500,2023-03-31,-0.4717,-0.3384,192.8229,92.8229
CHN500,2023-04-30,4.5001,4.6334,201.7572,101.7572
CHN500,2023-05-31,-3.1033,-2.9700,195.7650,95.7650
CHN500,2023-06-30,-0.9148,-0.7814,194.2352,94.2352
CHN500,2023-07-31,-5.3047,-5.1714,184.1905,84.1905
CHN500,2023-08-31,1.4554,1.5887,187.1168,87.1168
CHN500,2023-09-30,0.0756,0.2089,187.5078,87.5078
CHN500,2023-10-31,1.5748,1.7081,190.7106,90.7106
CHN500,2023-11-30,7.2743,7.4076,204.8378,104.8378
CHN500,2023-12-31,-7.7062,-7.5729,189.3257,89.3257
CHN500,2024-01-31,-12.0000,-11.8667,166.8591,66.8591
CHN500,2024-02-29,3.8496,3.9830,173.5050,73.5050
CHN500,2024-03-31,1.6160,1.7493,176.5401,76.5401
CHN500,2024-04-30,-9.0124,-8.8790,160.8651,60.8651
CHN500,2024-05-31,1.8089,1.9422,163.9894,63.9894
CHN500,2024-06-30,-1.1372,-1.0039,162.3432,62.3432
CHN500,2024-07-31,-5.6823,-5.5490,153.3348,53.3348
CHN500,2024-08-31,-12.0000,-11.8667,135.1391,35.1391
CHN500,2024-09-30,8.0373,8.1707,146.1808,46.1808
CHN500,2024-10-31,-5.5977,-5.4643,138.1930,38.1930
CHN500,2024-11-30,0.6567,0.7901,139.2848,39.2848
CHN500,2024-12-31,-1.9628,-1.8295,136.7367,36.7367
CHN500,2025-01-31,10.2604,10.3937,150.9487,50.9487
CHN500,2025-02-28,8.2309,8.3642,163.5744,63.5744
CHN500,2025-03-31,-1.8801,-1.7468,160.7171,60.7171
CHN500,2025-04-30,-12.0000,-11.8667,141.6453,41.6453
CHN500,2025-05-31,-8.6305,-8.4972,129.6094,29.6094
CHN500,2025-06-30,-0.8497,-0.7164,128.6809,28.6809
CHN500,2025-07-31,-3.7845,-3.6512,123.9825,23.9825
CHN500,2025-08-31,5.6632,5.7965,131.1692,31.1692
CHN500,2025-09-30,-8.9693,-8.8359,119.5792,19.5792
CHN500,2025-10-31,2.5341,2.6674,122.7688,22.7688
CHN500,2025-11-30,6.5780,6.7114,131.0083,31.0083
CHN500,2025-12-31,-3.0538,-2.9205,127.1822,27.1822
CHN1000,2020-12-31,0.0000,0.0000,100.0000,0.0000
CHN1000,2021-01-31,8.7951,8.8951,108.8951,8.8951
CHN1000,2021-02-28,6.9913,7.0913,116.6172,16.6172
CHN1000,2021-03-31,4.1650,4.2650,121.5909,21.5909
CHN1000,2021-04-30,1.3698,1.4698,123.3780,23.3780
CHN1000,2021-05-31,1.4917,1.5917,125.3419,25.3419
CHN1000,2021-06-30,12.0000,12.1000,140.5083,40.5083
CHN1000,2021-07-31,-10.7001,-10.6001,125.6143,25.6143
CHN1000,2021-08-31,11.0092,11.1092,139.5690,39.5690
CHN1000,2021-09-30,-3.5135,-3.4135,134.8048,34.8048
CHN1000,2021-10-31,1.6163,1.7163,137.1185,37.1185
CHN1000,2021-11-30,2.2078,2.3078,140.2830,40.2830
CHN1000,2021-12-31,10.3029,10.4029,154.8765,54.8765
CHN1000,2022-01-31,-10.5991,-10.4991,138.6158,38.6158
CHN1000,2022-02-28,10.5636,10.6636,153.3972,53.3972
CHN1000,2022-03-31,1.3024,1.4024,155.5485,55.5485
CHN1000,2022-04-30,-0.2829,-0.1829,155.2640,55.2640
CHN1000,2022-05-31,4.2014,4.3014,161.9425,61.9425
CHN1000,2022-06-30,-0.7458,-0.6458,160.8968,60.8968
CHN1000,2022-07-31,-0.1365,-0.0365,160.8380,60.8380
CHN1000,2022-08-31,-7.9048,-7.8048,148.2850,48.2850
CHN1000,2022-09-30,4.1798,4.2798,154.6312,54.6312
CHN1000,2022-10-31,-3.5766,-3.4766,149.2553,49.2553
CHN1000,2022-11-30,3.4715,3.5715,154.5859,54.5859
CHN1000,2022-12-31,-2.7117,-2.6117,150.5486,50.5486
CHN1000,2023-01-31,-4.7506,-4.6506,143.5471,43.5471
CHN1000,2023-02-28,-1.7971,-1.6971,141.1109,41.1109
CHN1000,2023-03-31,-4.6550,-4.5550,134.6833,34.6833
CHN1000,2023-04-30,12.0000,12.1000,150.9800,50.9800
CHN1000,2023-05-31,2.0625,2.1625,154.2449,54.2449
CHN1000,2023-06-30,-8.6782,-8.5782,141.0135,41.0135
CHN1000,2023-07-31,-4.7582,-4.6582,134.4448,34.4448
CHN1000,2023-08-31,8.4647,8.5647,145.9596,45.9596
CHN1000,2023-09-30,-2.3496,-2.2496,142.6761,42.6761
CHN1000,2023-10-31,-0.0390,0.0610,142.7632,42.7632
CHN1000,2023-11-30,1.6984,1.7984,145.3306,45.3306
CHN1000,2023-12-31,2.6353,2.7353,149.3059,49.3059
CHN1000,2024-01-31,4.5518,4.6518,156.2513,56.2513
CHN1000,2024-02-29,-3.2641,-3.1641,151.3072,51.3072
CHN1000,2024-03-31,7.5302,7.6302,162.8523,62.8523
CHN1000,2024-04-30,0.9523,1.0523,164.5660,64.5660
CHN1000,2024-05-31,-1.5806,-1.4806,162.1294,62.1294
CHN1000,2024-06-30,-12.0000,-11.9000,142.8360,42.8360
CHN1000,2024-07-31,3.5024,3.6024,147.9815,47.9815
CHN1000,2024-08-31,12.0000,12.1000,165.8873,65.8873
CHN1000,2024-09-30,10.0997,10.1997,182.8073,82.8073
CHN1000,2024-10-31,10.3210,10.4210,201.8577,101.8577
CHN1000,2024-11-30,7.0129,7.1129,216.2156,116.2156
CHN1000,2024-12-31,7.9115,8.0115,233.5379,133.5379
CHN1000,2025-01-31,-3.7022,-3.6022,225.1253,125.1253
CHN1000,2025-02-28,6.7003,6.8003,240.4345,140.4345
CHN1000,2025-03-31,8.9617,9.0617,262.2219,162.2219
CHN1000,2025-04-30,-6.8868,-6.7868,244.4253,144.4253
CHN1000,2025-05-31,2.6545,2.7545,251.1581,151.1581
CHN1000,2025-06-30,12.0000,12.1000,281.5483,181.5483
CHN1000,2025-07-31,-0.1063,-0.0063,281.5305,181.5305
CHN1000,2025-08-31,5.2064,5.3064,296.4696,196.4696
CHN1000,2025-09-30,4.2226,4.3226,309.2847,209.2847
CHN1000,2025-10-31,5.7617,5.8617,327.4142,227.4142
CHN1000,2025-11-30,-4.4832,-4.3832,313.0629,213.0629
CHN1000,2025-12-31,0.8506,0.9506,316.0389,216.0389
SSE50,2020-12-31,0.0000,0.0000,100.0000,0.0000
SSE50,2021-01-31,12.0000,12.2333,112.2333,12.2333
SSE50,2021-02-28,-1.2635,-1.0302,111.0771,11.0771
SSE50,2021-03-31,2.7850,3.0184,114.4298,14.4298
SSE50,2021-04-30,6.5512,6.7845,122.1933,22.1933
SSE50,2021-05-31,8.7742,9.0075,133.1999,33.1999
SSE50,2021-06-30,-4.7797,-4.5464,127.1441,27.1441
SSE50,2021-07-31,-5.8193,-5.5859,120.0419,20.0419
SSE50,2021-08-31,6.8176,7.0510,128.5060,28.5060
SSE50,2021-09-30,-1.7428,-1.5095,126.5662,26.5662
SSE50,2021-10-31,1.4418,1.6752,128.6864,28.6864
SSE50,2021-11-30,1.3630,1.5964,130.7407,30.7407
SSE50,2021-12-31,-3.5775,-3.3442,126.3685,26.3685
SSE50,2022-01-31,-6.2474,-6.0141,118.7686,18.7686
SSE50,2022-02-28,1.5902,1.8236,120.9344,20.9344
SSE50,2022-03-31,-0.8804,-0.6470,120.1520,20.1520
SSE50,2022-04-30,-2.3090,-2.0757,117.6580,17.6580
SSE50,2022-05-31,-0.0322,0.2012,117.8946,17.8946
SSE50,2022-06-30,-5.9804,-5.7470,111.1192,11.1192
SSE50,2022-07-31,1.7615,1.9948,113.3358,13.3358
SSE50,2022-08-31,9.9381,10.1714,124.8637,24.8637
SSE50,2022-09-30,11.6760,11.9093,139.7341,39.7341
SSE50,2022-10-31,-5.1331,-4.8997,132.8875,32.8875
SSE50,2022-11-30,-3.6634,-3.4301,128.3293,28.3293
SSE50,2022-12-31,-4.4499,-4.2165,122.9183,22.9183
SSE50,2023-01-31,-3.4448,-3.2115,118.9707,18.9707
SSE50,2023-02-28,-5.4427,-5.2094,112.7731,12.7731
SSE50,2023-03-31,-6.1205,-5.8871,106.1340,6.1340
SSE50,2023-04-30,6.3801,6.6134,113.1531,13.1531
SSE50,2023-05-31,4.6575,4.8908,118.6873,18.6873
SSE50,2023-06-30,5.4491,5.6824,125.4316,25.4316
SSE50,2023-07-31,-3.9094,-3.6761,120.8206,20.8206
SSE50,2023-08-31,-0.3323,-0.0990,120.7010,20.7010
SSE50,2023-09-30,-2.6681,-2.4347,117.7623,17.7623
SSE50,2023-10-31,-12.0000,-11.7667,103.9056,3.9056
SSE50,2023-11-30,-3.2655,-3.0322,100.7550,0.7550
SSE50,2023-12-31,6.3553,6.5886,107.3934,7.3934
SSE50,2024-01-31,1.5914,1.8247,109.3530,9.3530
SSE50,2024-02-29,1.3227,1.5560,111.0546,11.0546
SSE50,2024-03-31,-4.1565,-3.9231,106.6977,6.6977
SSE50,2024-04-30,7.0261,7.2595,114.4434,14.4434
SSE50,2024-05-31,-6.7419,-6.5085,106.9948,6.9948
SSE50,2024-06-30,-4.4927,-4.2594,102.4375,2.4375
SSE50,2024-07-31,3.1219,3.3553,105.8746,5.8746
SSE50,2024-08-31,-0.8644,-0.6310,105.2065,5.2065
SSE50,2024-09-30,2.1610,2.3944,107.7255,7.7255
SSE50,2024-10-31,8.8331,9.0665,117.4924,17.4924
SSE50,2024-11-30,12.0000,12.2333,131.8656,31.8656
SSE50,2024-12-31,1.1209,1.3542,133.6514,33.6514
SSE50,2025-01-31,-1.5380,-1.3046,131.9077,31.9077
SSE50,2025-02-28,-7.8726,-7.6392,121.8310,21.8310
SSE50,2025-03-31,5.0280,5.2614,128.2409,28.2409
SSE50,2025-04-30,-10.5433,-10.3100,115.0193,15.0193
SSE50,2025-05-31,7.2332,7.4665,123.6073,23.6073
SSE50,2025-06-30,4.3747,4.6081,129.3032,29.3032
SSE50,2025-07-31,3.1963,3.4296,133.7377,33.7377
SSE50,2025-08-31,-1.0605,-0.8271,132.6316,32.6316
SSE50,2025-09-30,3.2659,3.4992,137.2726,37.2726
SSE50,2025-10-31,0.5952,0.8286,138.4100,38.4100
SSE50,2025-11-30,-5.3504,-5.1170,131.3275,31.3275
SSE50,2025-12-31,-5.7097,-5.4764,124.1355,24.1355
CHINEXT,2020-12-31,0.0000,0.0000,100.0000,0.0000
CHINEXT,2021-01-31,10.4784,10.5451,110.5451,10.5451
CHINEXT,2021-02-28,3.2836,3.3503,114.2487,14.2487
CHINEXT,2021-03-31,10.6496,10.7163,126.4919,26.4919
CHINEXT,2021-04-30,3.5252,3.5919,131.0353,31.0353
CHINEXT,2021-05-31,-12.0000,-11.9333,115.3984,15.3984
CHINEXT,2021-06-30,-1.5698,-1.5031,113.6639,13.6639
CHINEXT,2021-07-31,2.4844,2.5510,116.5635,16.5635
CHINEXT,2021-08-31,9.5760,9.6427,127.8033,27.8033
CHINEXT,2021-09-30,12.0000,12.0667,143.2249,43.2249
CHINEXT,2021-10-31,-4.1555,-4.0888,137.3687,37.3687
CHINEXT,2021-11-30,4.7780,4.8447,144.0238,44.0238
CHINEXT,2021-12-31,9.0145,9.0812,157.1029,57.1029
CHINEXT,2022-01-31,-2.4239,-2.3572,153.3996,53.3996
CHINEXT,2022-02-28,-1.2263,-1.1597,151.6207,51.6207
CHINEXT,2022-03-31,-8.8450,-8.7783,138.3109,38.3109
CHINEXT,2022-04-30,-12.0000,-11.9333,121.8058,21.8058
CHINEXT,2022-05-31,-7.7988,-7.7321,112.3876,12.3876
CHINEXT,2022-06-30,-3.1110,-3.0444,108.9661,8.9661
CHINEXT,2022-07-31,2.2221,2.2887,111.4601,11.4601
CHINEXT,2022-08-31,-2.8763,-2.8097,108.3284,8.3284
CHINEXT,2022-09-30,-12.0000,-11.9333,95.4012,-4.5988
CHINEXT,2022-10-31,-4.7113,-4.6446,90.9702,-9.0298
CHINEXT,2022-11-30,-10.1255,-10.0588,81.8197,-18.1803
CHINEXT,2022-12-31,5.3758,5.4424,86.2727,-13.7273
CHINEXT,2023-01-31,7.0426,7.1093,92.4061,-7.5939
CHINEXT,2023-02-28,12.0000,12.0667,103.5564,3.5564
CHINEXT,2023-03-31,10.0813,10.1480,114.0653,14.0653
CHINEXT,2023-04-30,-10.6102,-10.5436,102.0388,2.0388
CHINEXT,2023-05-31,-0.1949,-0.1282,101.9080,1.9080
CHINEXT,2023-06-30,-2.1131,-2.0464,99.8225,-0.1775
CHINEXT,2023-07-31,-7.1747,-7.1081,92.7271,-7.2729
CHINEXT,2023-08-31,12.0000,12.0667,103.9161,3.9161
CHINEXT,2023-09-30,-5.9440,-5.8773,97.8086,-2.1914
CHINEXT,2023-10-31,-4.9497,-4.8830,93.0326,-6.9674
CHINEXT,2023-11-30,1.3748,1.4415,94.3737,-5.6263
CHINEXT,2023-12-31,12.0000,12.0667,105.7615,5.7615
CHINEXT,2024-01-31,-9.7541,-9.6874,95.5159,-4.4841
CHINEXT,2024-02-29,1.5246,1.5913,97.0358,-2.9642
CHINEXT,2024-03-31,-9.1468,-9.0802,88.2248,-11.7752
CHINEXT,2024-04-30,-1.7724,-1.7058,86.7199,-13.2801
CHINEXT,2024-05-31,-0.2013,-0.1347,86.6031,-13.3969
CHINEXT,2024-06-30,4.8089,4.8756,90.8255,-9.1745
CHINEXT,2024-07-31,3.7123,3.7789,94.2578,-5.7422
CHINEXT,2024-08-31,2.3597,2.4264,96.5448,-3.4552
CHINEXT,2024-09-30,1.6307,1.6974,98.1836,-1.8164
CHINEXT,2024-10-31,1.1023,1.1690,99.3313,-0.6687
CHINEXT,2024-11-30,8.6417,8.7084,107.9815,7.9815
CHINEXT,2024-12-31,12.0000,12.0667,121.0112,21.0112
CHINEXT,2025-01-31,-12.0000,-11.9333,106.5706,6.5706
CHINEXT,2025-02-28,8.0469,8.1136,115.2173,15.2173
CHINEXT,2025-03-31,3.0695,3.1361,118.8306,18.8306
CHINEXT,2025-04-30,-12.0000,-11.9333,104.6502,4.6502
CHINEXT,2025-05-31,-12.0000,-11.9333,92.1619,-7.8381
CHINEXT,2025-06-30,-7.5689,-7.5022,85.2477,-14.7523
CHINEXT,2025-07-31,1.0860,1.1527,86.2303,-13.7697
CHINEXT,2025-08-31,0.5884,0.6551,86.7952,-13.2048
CHINEXT,2025-09-30,12.0000,12.0667,97.2685,-2.7315
CHINEXT,2025-10-31,-12.0000,-11.9333,85.6611,-14.3389
CHINEXT,2025-11-30,-7.3131,-7.2464,79.4538,-20.5462
CHINEXT,2025-12-31,12.0000,12.0667,89.0412,-10.9588
USP500,2020-12-31,0.0000,0.0000,100.0000,0.0000
USP500,2021-01-31,-2.1657,-2.0490,97.9510,-2.0490
USP500,2021-02-28,11.3516,11.4682,109.1842,9.1842
USP500,2021-03-31,6.5057,6.6224,116.4148,16.4148
USP500,2021-04-30,-8.3135,-8.1968,106.8726,6.8726
USP500,2021-05-31,1.4524,1.5690,108.5494,8.5494
USP500,2021-06-30,0.0754,0.1921,108.7579,8.7579
USP500,2021-07-31,-1.2460,-1.1293,107.5297,7.5297
USP500,2021-08-31,-4.0891,-3.9725,103.2581,3.2581
USP500,2021-09-30,2.0575,2.1742,105.5031,5.5031
USP500,2021-10-31,-4.5018,-4.3851,100.8766,0.8766
USP500,2021-11-30,-1.1315,-1.0149,99.8529,-0.1471
USP500,2021-12-31,2.8807,2.9974,102.8459,2.8459
USP500,2022-01-31,-4.8198,-4.7032,98.0088,-1.9912
USP500,2022-02-28,-0.1190,-0.0023,98.0065,-1.9935
USP500,2022-03-31,2.8601,2.9767,100.9239,0.9239
USP500,2022-04-30,2.9820,3.0987,104.0512,4.0512
USP500,2022-05-31,-4.1770,-4.0603,99.8265,-0.1735
USP500,2022-06-30,-1.9872,-1.8706,97.9591,-2.0409
USP500,2022-07-31,3.2259,3.3425,101.2334,1.2334
USP500,2022-08-31,3.1548,3.2715,104.5453,4.5453
USP500,2022-09-30,-1.0451,-0.9285,103.5746,3.5746
USP500,2022-10-31,-0.7156,-0.5989,102.9543,2.9543
USP500,2022-11-30,-9.5140,-9.3974,93.2793,-6.7207
USP500,2022-12-31,-4.0498,-3.9331,89.6105,-10.3895
USP500,2023-01-31,10.1945,10.3112,98.8504,-1.1496
USP500,2023-02-28,-5.2064,-5.0897,93.8192,-6.1808
USP500,2023-03-31,4.6305,4.7472,98.2730,-1.7270
USP500,2023-04-30,-3.7479,-3.6312,94.7045,-5.2955
USP500,2023-05-31,-1.0245,-0.9078,93.8447,-6.1553
USP500,2023-06-30,2.4918,2.6084,96.2926,-3.7074
USP500,2023-07-31,1.1716,1.2882,97.5331,-2.4669
USP500,2023-08-31,-2.4570,-2.3403,95.2505,-4.7495
USP500,2023-09-30,9.5847,9.7014,104.4911,4.4911
USP500,2023-10-31,0.6884,0.8050,105.3323,5.3323
USP500,2023-11-30,4.9987,5.1153,110.7204,10.7204
USP500,2023-12-31,5.4040,5.5206,116.8329,16.8329
USP500,2024-01-31,-4.1490,-4.0324,112.1217,12.1217
USP500,2024-02-29,7.7705,7.8872,120.9650,20.9650
USP500,2024-03-31,-4.5321,-4.4155,115.6238,15.6238
USP500,2024-04-30,0.3714,0.4880,116.1881,16.1881
USP500,2024-05-31,-4.6864,-4.5698,110.8786,10.8786
USP500,2024-06-30,-1.7094,-1.5927,109.1126,9.1126
USP500,2024-07-31,3.0805,3.1972,112.6011,12.6011
USP500,2024-08-31,-4.1267,-4.0100,108.0858,8.0858
USP500,2024-09-30,11.8588,11.9755,121.0296,21.0296
USP500,2024-10-31,8.8796,8.9962,131.9178,31.9178
USP500,2024-11-30,-1.4511,-1.3345,130.1574,30.1574
USP500,2024-12-31,0.4389,0.5556,130.8805,30.8805
USP500,2025-01-31,-5.1872,-5.0705,124.2442,24.2442
USP500,2025-02-28,8.9540,9.0706,135.5139,35.5139
USP500,2025-03-31,-1.6318,-1.5151,133.4607,33.4607
USP500,2025-04-30,1.3699,1.4866,135.4447,35.4447
USP500,2025-05-31,8.1603,8.2770,146.6554,46.6554
USP500,2025-06-30,3.2924,3.4091,151.6551,51.6551
USP500,2025-07-31,3.8468,3.9634,157.6658,57.6658
USP500,2025-08-31,-3.5486,-3.4320,152.2548,52.2548
USP500,2025-09-30,-2.3911,-2.2745,148.7918,48.7918
USP500,2025-10-31,6.3773,6.4940,158.4543,58.4543
USP500,2025-11-30,2.4212,2.5378,162.4756,62.4756
USP500,2025-12-31,-9.9963,-9.8796,146.4236,46.4236
USN100,2020-12-31,0.0000,0.0000,100.0000,0.0000
USN100,2021-01-31,-12.0000,-11.9333,88.0667,-11.9333
USN100,2021-02-28,-10.3146,-10.2479,79.0417,-20.9583
USN100,2021-03-31,5.7887,5.8553,83.6698,-16.3302
USN100,2021-04-30,12.0000,12.0667,93.7660,-6.2340
USN100,2021-05-31,-2.5404,-2.4737,91.4465,-8.5535
USN100,2021-06-30,2.5415,2.6081,93.8315,-6.1685
USN100,2021-07-31,3.4050,3.4717,97.0890,-2.9110
USN100,2021-08-31,3.1514,3.2181,100.2134,0.2134
USN100,2021-09-30,-9.2424,-9.1757,91.0181,-8.9819
USN100,2021-10-31,-2.3962,-2.3295,88.8978,-11.1022
USN100,2021-11-30,-0.6225,-0.5559,88.4037,-11.5963
USN100,2021-12-31,10.6640,10.7307,97.8900,-2.1100
USN100,2022-01-31,2.4882,2.5549,100.3910,0.3910
USN100,2022-02-28,6.1424,6.2090,106.6243,6.6243
USN100,2022-03-31,0.1181,0.1847,106.8213,6.8213
USN100,2022-04-30,1.3277,1.3943,108.3107,8.3107
USN100,2022-05-31,-12.0000,-11.9333,95.3856,-4.6144
USN100,2022-06-30,0.0581,0.1247,95.5046,-4.4954
USN100,2022-07-31,5.8348,5.9015,101.1408,1.1408
USN100,2022-08-31,-7.9379,-7.8712,93.1798,-6.8202
USN100,2022-09-30,7.3485,7.4151,100.0892,0.0892
USN100,2022-10-31,-1.8795,-1.8128,98.2748,-1.7252
USN100,2022-11-30,4.4166,4.4832,102.6807,2.6807
USN100,2022-12-31,4.2211,4.2878,107.0834,7.0834
USN100,2023-01-31,3.3981,3.4648,110.7936,10.7936
USN100,2023-02-28,7.2611,7.3278,118.9123,18.9123
USN100,2023-03-31,-6.7264,-6.6597,110.9930,10.9930
USN100,2023-04-30,6.0336,6.1003,117.7639,17.7639
USN100,2023-05-31,-1.9208,-1.8542,115.5804,15.5804
USN100,2023-06-30,-4.1370,-4.0704,110.8758,10.8758
USN100,2023-07-31,-0.0003,0.0664,110.9494,10.9494
USN100,2023-08-31,11.5876,11.6543,123.8798,23.8798
USN100,2023-09-30,3.7912,3.8578,128.6589,28.6589
USN100,2023-10-31,7.2992,7.3658,138.1357,38.1357
USN100,2023-11-30,1.1800,1.2466,139.8577,39.8577
USN100,2023-12-31,-0.7167,-0.6500,138.9486,38.9486
USN100,2024-01-31,3.0305,3.0971,143.2520,43.2520
USN100,2024-02-29,8.2068,8.2735,155.1039,55.1039
USN100,2024-03-31,9.9373,10.0039,170.6204,70.6204
USN100,2024-04-30,-7.1326,-7.0659,158.5645,58.5645
USN100,2024-05-31,4.1514,4.2181,165.2529,65.2529
USN100,2024-06-30,2.5975,2.6642,169.6555,69.6555
USN100,2024-07-31,2.6433,2.7099,174.2530,74.2530
USN100,2024-08-31,0.1869,0.2536,174.6950,74.6950
USN100,2024-09-30,-0.4343,-0.3676,174.0527,74.0527
USN100,2024-10-31,3.7103,3.7770,180.6267,80.6267
USN100,2024-11-30,8.7489,8.8156,196.5500,96.5500
USN100,2024-12-31,-0.9266,-0.8600,194.8598,94.8598
USN100,2025-01-31,4.4663,4.5330,203.6928,103.6928
USN100,2025-02-28,-7.1600,-7.0933,189.2443,89.2443
USN100,2025-03-31,4.4798,4.5465,197.8482,97.8482
